upc,brand,item_name,our_price,our_discount_price,match_type,competitor_title,competitor_price,suggested_price,change_amount,change_percent,reasoning
713132395233,Burberry,Burberry BE2108 Black,304.0,274.0,upc,Burberry 2108 Eyeglasses,151.0,143.45,-130.55,-47.65,Competitor at $151.00 is 44.9% cheaper (large gap). Aggressively undercutting by 5%.
8053672283303,Armani Exchange,Armani Exchange AX3016 Black,163.0,130.0,upc,Armani Exchange 3016 Eyeglasses,70.52,66.99,-63.01,-48.47,Competitor at $70.52 is 45.8% cheaper (large gap). Aggressively undercutting by 5%.
713132321966,Burberry,Burberry BE2073 Tortoise,311.0,280.0,upc,Burberry 2073 Eyeglasses,141.88,134.79,-145.21,-51.86,Competitor at $141.88 is 49.3% cheaper (large gap). Aggressively undercutting by 5%.
725125379632,Michael Kors,Michael Kors MK3056 Naxos Rose Gold,204.0,163.0,upc,Michael Kors Naxos 3056 Eyeglasses,90.96,86.41,-76.59,-46.99,Competitor at $90.96 is 44.2% cheaper (large gap). Aggressively undercutting by 5%.
725125961295,Michael Kors,"Michael Kors MK4030 Vivianna II Tortoise, Beige",256.0,230.0,upc,Michael Kors Vivianna Ii 4030 Eyeglasses,91.74,87.15,-142.85,-62.11,Competitor at $91.74 is 60.1% cheaper (large gap). Aggressively undercutting by 5%.
725125932226,Coach,"Coach HC6065 Tortoise, Purple, Multicolor",304.0,274.0,upc,Coach 6065 Eyeglasses,145.29,138.03,-135.97,-49.62,Competitor at $145.29 is 47.0% cheaper (large gap). Aggressively undercutting by 5%.
8056597886826,Burberry,Burberry BE2357 Esme Black,341.0,307.0,upc,Burberry Esme 2357 Eyeglasses,166.11,157.8,-149.2,-48.6,Competitor at $166.11 is 45.9% cheaper (large gap). Aggressively undercutting by 5%.
725125013215,Coach,Coach HC8264 Shiny Black,367.0,330.0,upc,Coach L1083 8264 Sunglasses,152.36,144.74,-185.26,-56.14,Competitor at $152.36 is 53.8% cheaper (large gap). Aggressively undercutting by 5%.
7895653258068,Armani Exchange,Armani Exchange AX1059 Black,46.0,46.0,upc,Armani Exchange 1059 Eyeglasses,74.72,46.0,0.0,0.0,Our price $46.00 is already at or below competitor's $74.72. No change needed.
725125387736,Michael Kors,Michael Kors MK4095U Dolonne Shiny Black,237.0,213.0,upc,Michael Kors Dolonne 4095U Eyeglasses,91.74,87.15,-125.85,-59.08,Competitor at $91.74 is 56.9% cheaper (large gap). Aggressively undercutting by 5%.
725125392341,Coach,"Coach HC6207U Clear, Brown",263.0,210.0,upc,Coach 6207U Eyeglasses,132.2,125.59,-84.41,-40.2,Competitor at $132.20 is 37.0% cheaper (large gap). Aggressively undercutting by 5%.
725125487665,Coach,Coach HC6242U Clear,248.0,223.0,upc,Coach 6242U Eyeglasses,126.37,120.05,-102.95,-46.17,Competitor at $126.37 is 43.3% cheaper (large gap). Aggressively undercutting by 5%.
725125932172,Coach,Coach HC6065 Tortoise,304.0,243.0,upc,Coach 6065 Eyeglasses,138.88,131.94,-111.06,-45.7,Competitor at $138.88 is 42.8% cheaper (large gap). Aggressively undercutting by 5%.
8053672283365,Armani Exchange,Armani Exchange AX1014 Black,196.0,157.0,upc,Armani Exchange 1014 Eyeglasses,73.22,69.56,-87.44,-55.69,Competitor at $73.22 is 53.4% cheaper (large gap). Aggressively undercutting by 5%.
725125371421,Coach,"Coach HC6176 Tortoise, Pink, Rose Gold",267.0,214.0,upc,Coach 6176 Eyeglasses,114.38,108.66,-105.34,-49.22,Competitor at $114.38 is 46.6% cheaper (large gap). Aggressively undercutting by 5%.
8056597417860,Burberry,Burberry BE2340 Bolton Black,371.0,297.0,upc,Burberry Bolton 2340 Eyeglasses,168.66,160.23,-136.77,-46.05,Competitor at $168.66 is 43.2% cheaper (large gap). Aggressively undercutting by 5%.
8056597831635,Versace,Versace VE3340U Clear,366.0,329.0,upc,Versace 3340U Eyeglasses,197.15,187.29,-141.71,-43.07,Competitor at $197.15 is 40.1% cheaper (large gap). Aggressively undercutting by 5%.
725125389563,Tory Burch,"Tory Burch TY2129U Brown, Tortoise",256.0,230.0,upc,Tory Burch 2129U Eyeglasses,113.29,107.63,-122.37,-53.2,Competitor at $113.29 is 50.7% cheaper (large gap). Aggressively undercutting by 5%.
716736433011,Kate Spade,"Kate Spade Luella Pink, Clear",124.0,124.0,upc,Kate Spade LUELLA Eyeglasses,61.7,58.62,-65.38,-52.73,Competitor at $61.70 is 50.2% cheaper (large gap). Aggressively undercutting by 5%.
725125932219,Coach,Coach HC6065 Eggplant,304.0,243.0,upc,Coach 6065 Eyeglasses,145.29,138.03,-104.97,-43.2,Competitor at $145.29 is 40.2% cheaper (large gap). Aggressively undercutting by 5%.
725125002387,Coach,"Coach HC6125 Multicolor, Tortoise, Gold",304.0,213.0,upc,Coach 6125 Eyeglasses,128.25,121.84,-91.16,-42.8,Competitor at $128.25 is 39.8% cheaper (large gap). Aggressively undercutting by 5%.
725125925747,Coach,Coach HC6054 Elise Tortoise,309.0,247.0,upc,Coach Elise 6054 Eyeglasses,140.96,133.91,-113.09,-45.79,Competitor at $140.96 is 42.9% cheaper (large gap). Aggressively undercutting by 5%.
725125534352,Coach,Coach HC6254BD Brown,244.0,220.0,upc,Coach 6254BD Eyeglasses,110.57,105.04,-114.96,-52.25,Competitor at $110.57 is 49.7% cheaper (large gap). Aggressively undercutting by 5%.
8053672885002,Armani Exchange,Armani Exchange AX3053 Clear Brown,174.0,157.0,upc,Armani Exchange 3053 Eyeglasses,70.52,66.99,-90.01,-57.33,Competitor at $70.52 is 55.1% cheaper (large gap). Aggressively undercutting by 5%.
8056597535892,Versace,"Versace VE3304 Pink, Clear",266.0,239.0,upc,Versace 3304 Eyeglasses,162.97,154.82,-84.18,-35.22,Competitor at $162.97 is 31.8% cheaper (large gap). Aggressively undercutting by 5%.
8056262081655,Burberry,Burberry BE2403 Tortoise,404.0,364.0,upc,Burberry 2403 Eyeglasses,194.99,185.24,-178.76,-49.11,Competitor at $194.99 is 46.4% cheaper (large gap). Aggressively undercutting by 5%.
8056597489201,Burberry,Burberry BE2347 Evelyn Black,440.0,396.0,upc,Burberry Evelyn 2347 Eyeglasses,186.32,177.0,-219.0,-55.3,Competitor at $186.32 is 52.9% cheaper (large gap). Aggressively undercutting by 5%.
8056262555071,Burberry,"Burberry BE2440 Multicolor, Brown",354.0,319.0,upc,Burberry 2440 Eyeglasses,191.98,182.38,-136.62,-42.83,Competitor at $191.98 is 39.8% cheaper (large gap). Aggressively undercutting by 5%.
725125948623,Coach,"Coach HC6078 Tortoise, Blue",348.0,313.0,upc,Coach 6078 Eyeglasses,132.2,125.59,-187.41,-59.88,Competitor at $132.20 is 57.8% cheaper (large gap). Aggressively undercutting by 5%.
8053672416893,Burberry,Burberry BE1282 Black,359.0,323.0,upc,Burberry 1282 Eyeglasses,169.4,160.93,-162.07,-50.18,Competitor at $169.40 is 47.6% cheaper (large gap). Aggressively undercutting by 5%.
716736744599,Kate Spade,Kate Spade Avaline2/S Gold,106.0,95.0,upc,Kate Spade AVALINE2_S Sunglasses,57.0,54.15,-40.85,-43.0,Competitor at $57.00 is 40.0% cheaper (large gap). Aggressively undercutting by 5%.
8056597640596,Burberry,Burberry BE2334 Elm Clear,412.0,330.0,upc,Burberry Elm 2334 Eyeglasses,161.22,153.16,-176.84,-53.59,Competitor at $161.22 is 51.1% cheaper (large gap). Aggressively undercutting by 5%.
827886729357,Kate Spade,"Kate Spade Renne Beige, Clear",104.0,104.0,upc,Kate Spade RENNE Eyeglasses,95.22,92.36,-11.64,-11.19,Competitor at $95.22 is 8.4% cheaper (moderate gap). Undercutting by 3%.
8056597920322,Burberry,Burberry BE2390 Clear,342.0,342.0,upc,Burberry 2390 Eyeglasses,161.22,153.16,-188.84,-55.22,Competitor at $161.22 is 52.9% cheaper (large gap). Aggressively undercutting by 5%.
716736065427,Kate Spade,"Kate Spade Emilyn Tortoise, Pink",311.0,156.0,upc,Kate Spade Emilyn Eyeglasses,103.92,98.72,-57.28,-36.72,Competitor at $103.92 is 33.4% cheaper (large gap). Aggressively undercutting by 5%.
725125371438,Coach,"Coach HC6176 Tortoise, Pink, Rose Gold",267.0,214.0,upc,Coach 6176 Eyeglasses,114.38,108.66,-105.34,-49.22,Competitor at $114.38 is 46.6% cheaper (large gap). Aggressively undercutting by 5%.
725125005227,Coach,"Coach HC6129 Black, Tortoise",274.0,219.0,upc,Coach 6129 Eyeglasses,124.78,118.54,-100.46,-45.87,Competitor at $124.78 is 43.0% cheaper (large gap). Aggressively undercutting by 5%.
8055341273585,Adidas,Adidas AOM001O/N Blue/Black,115.0,81.0,upc,Adidas AOM001O_N Eyeglasses,49.0,46.55,-34.45,-42.53,Competitor at $49.00 is 39.5% cheaper (large gap). Aggressively undercutting by 5%.
8056597727174,Burberry,Burberry BE2363 Sylvie Shiny Black,440.0,396.0,upc,Burberry Sylvie 2363 Eyeglasses,194.99,185.24,-210.76,-53.22,Competitor at $194.99 is 50.8% cheaper (large gap). Aggressively undercutting by 5%.
8056262043691,Versace,Versace VE1274 Gold,478.0,478.0,upc,Versace 1274 Eyeglasses,180.06,171.06,-306.94,-64.21,Competitor at $180.06 is 62.3% cheaper (large gap). Aggressively undercutting by 5%.
725125392327,Coach,Coach HC6207U Universal Fit Black,263.0,210.0,upc,Coach 6207U Eyeglasses,126.37,120.05,-89.95,-42.83,Competitor at $126.37 is 39.8% cheaper (large gap). Aggressively undercutting by 5%.
725125932196,Coach,"Coach HC6065 Tortoise, Brown",304.0,243.0,upc,Coach 6065 Eyeglasses,145.29,138.03,-104.97,-43.2,Competitor at $145.29 is 40.2% cheaper (large gap). Aggressively undercutting by 5%.
8056597832502,Burberry,Burberry BE2376 Elizabeth Black,404.0,404.0,upc,Burberry Elizabeth 2376 Eyeglasses,186.32,177.0,-227.0,-56.19,Competitor at $186.32 is 53.9% cheaper (large gap). Aggressively undercutting by 5%.
8056262664773,Versace,"Versace VE3328 Clear, Gray",326.0,326.0,upc,Versace 3328 Eyeglasses,176.55,167.72,-158.28,-48.55,Competitor at $176.55 is 45.8% cheaper (large gap). Aggressively undercutting by 5%.
8056262663813,Versace,"Versace VE3347 Gray, Clear",404.0,364.0,upc,Versace 3347 Eyeglasses,232.1,220.49,-143.51,-39.43,Competitor at $232.10 is 36.2% cheaper (large gap). Aggressively undercutting by 5%.
8056262600085,Miu Miu,"Miu Miu MU01YV Bronze, Tortoise",459.0,459.0,,,,,,,
7895653258105,Armani Exchange,Armani Exchange AX1059 Blue,46.0,46.0,upc,Armani Exchange 1059 Eyeglasses,74.72,46.0,0.0,0.0,Our price $46.00 is already at or below competitor's $74.72. No change needed.
827886729371,Kate Spade,Kate Spade Renne Shiny Black,104.0,94.0,upc,Kate Spade RENNE Eyeglasses,99.62,94.0,0.0,0.0,Our price $94.00 is already at or below competitor's $99.62. No change needed.
8056597213233,Armani Exchange,"Armani Exchange AX1042 Matte Black, Gunmetal",181.0,163.0,upc,Armani Exchange 1042 Eyeglasses,72.59,68.96,-94.04,-57.69,Competitor at $72.59 is 55.5% cheaper (large gap). Aggressively undercutting by 5%.
725125403313,Michael Kors,Michael Kors MK4110U Avila Clear,184.0,166.0,upc,Michael Kors Avila 4110U Eyeglasses,87.69,83.31,-82.69,-49.81,Competitor at $87.69 is 47.2% cheaper (large gap). Aggressively undercutting by 5%.
